Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Logout_Internal_Data,,,,2024-01-25 15:24:11,2024-01-25 15:24:23,12.398s,PASSED
,,,,,,,
Test Cases/TC_CHS_Logout/TC_CHS_Logout_004,,,,2024-01-25 15:24:11,2024-01-25 15:24:23,11.650s,PASSED
Start listener action : sampleBeforeTestCase,,,,2024-01-25 15:24:12,2024-01-25 15:24:18,6.834s,PASSED
"openBrowser("""")",,,,2024-01-25 15:24:19,2024-01-25 15:24:21,2.293s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",,,,2024-01-25 15:24:21,2024-01-25 15:24:21,0.055s,PASSED
"click(findTestObject(""CURA Healthcare Service Button/Page_CURA Healthcare Service/a_Make Appointment""))",,,,2024-01-25 15:24:21,2024-01-25 15:24:22,0.206s,PASSED
"setText(findTestObject(""Object Repository/CURA Healthcare Logout/Page_CURA Healthcare Service/input_Username_username""), username)",,,,2024-01-25 15:24:22,2024-01-25 15:24:22,0.322s,PASSED
"setText(findTestObject(""Object Repository/CURA Healthcare Logout/Page_CURA Healthcare Service/input_Password_password""), password)",,,,2024-01-25 15:24:22,2024-01-25 15:24:22,0.158s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Logout/Page_CURA Healthcare Service/button_Login""))",,,,2024-01-25 15:24:22,2024-01-25 15:24:22,0.216s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CURA Healthcare Logout/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",,,,2024-01-25 15:24:22,2024-01-25 15:24:23,0.280s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Logout/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",,,,2024-01-25 15:24:23,2024-01-25 15:24:23,0.143s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Logout/Page_CURA Healthcare Service/a_Logout""))",,,,2024-01-25 15:24:23,2024-01-25 15:24:23,0.184s,PASSED
closeBrowser(),,,,2024-01-25 15:24:23,2024-01-25 15:24:23,0.095s,PASSED
Start listener action : sampleAfterTestCase,,,,2024-01-25 15:24:23,2024-01-25 15:24:23,0.017s,PASSED
